"id","year_format","month_format"
"base.lang_en","%Y","%m/%Y"
"base.lang_am_ET","%Y","%m/%Y"
"base.lang_ar_SY","%Y","%b, %Y"
"base.lang_eu_ES","%Y.eko","%Y.eko %bren"
"base.lang_bs_BA","%Y","%m.%Y"
"base.lang_bg","%Y","%m.%Y"
"base.lang_ca_ES","%Y","%m/%Y"
"base.lang_zh_CN","%Y年","%Y年%m月"
"base.lang_zh_HK","%Y年","%Y年%m月"
"base.lang_zh_TW","%Y年","%Y年%m月"
"base.lang_hr","%Y","%m.%Y"
"base.lang_cs_CZ","%Y","%m.%Y"
"base.lang_da_DK","%Y","%m-%Y"
"base.lang_nl_BE","%Y","%m-%Y"
"base.lang_nl","%Y","%m-%Y"
"base.lang_en_AU","%Y","%m/%Y"
"base.lang_en_GB","%Y","%m/%Y"
"base.lang_et_EE","%Y","%m.%Y"
"base.lang_fi","%Y","%m.%Y"
"base.lang_fr_BE","%Y","%m/%Y"
"base.lang_fr_CA","%Y",%Y-%m"
"base.lang_fr_CH","%Y","%m.%Y"
"base.lang_fr","%Y","%m/%Y"
"base.lang_gl_ES","%Y","%m/%Y"
"base.lang_ka_GE","%Y","%m/%Y"
"base.lang_de","%Y","%m.%Y"
"base.lang_de_CH","%Y","%m.%Y"
"base.lang_el_GR","%Y","%m/%Y"
"base.lang_gu_IN","%Y","%b %Y"
"base.lang_he_IL","%Y","%m/%Y"
"base.lang_hi_IN","%Y","%b %Y"
"base.lang_hu","%Y",%Y-%m"
"base.lang_id","%Y","%m/%Y"
"base.lang_it","%Y","%m/%Y"
"base.lang_ja_JP","%Y年","%Y年%m月"
"base.lang_kab_DZ","%Y","%m/%Y"
"base.lang_km","%Y","%B %Y"
"base.lang_ko_KP","%Y","%m/%Y"
"base.lang_ko_KR","%Y","%Y년 %m"
"base.lang_lo_LA","%y","%m/%y"
"base.lang_lv","%Y.","%Y.%m."
"base.lang_lt","%Y.","%Y.%m."
"base.lang_mk","%Y.",".%m.%Y."
"base.lang_mn","%Y.","%Y.%m."
"base.lang_my","%Y","%Y %b"
"base.lang_nb_NO","%Y","%b %Y"
"base.lang_fa_IR","%Y","%Y/%m"
"base.lang_pl","%Y","%m.%Y"
"base.lang_pt_BR","%Y","%m/%Y"
"base.lang_pt","%Y","%m-%Y"
"base.lang_ro","%Y","%m.%Y"
"base.lang_ru","%Y","%m.%Y"
"base.lang_sr_RS","%Y","%m.%Y"
"base.lang_sr@latin","%Y","%m/%Y"
"base.lang_sk","%Y","%m.%Y"
"base.lang_sl_SI","%Y","%m. %Y"
"base.lang_es_AR","%Y","%m/%Y"
"base.lang_es_BO","%Y","%m/%Y"
"base.lang_es_CL","%Y","%m/%Y"
"base.lang_es_CO","%Y","%m-%Y"
"base.lang_es_CR","%Y","%m/%Y"
"base.lang_es_DO","%Y","%m/%Y"
"base.lang_es_EC","%Y","%m/%Y"
"base.lang_es_GT","%Y","%m/%Y"
"base.lang_es_MX","%Y","%m/%Y"
"base.lang_es_PA","%Y","%m/%Y"
"base.lang_es_PE","%Y","%m/%Y"
"base.lang_es_PY","%Y","%m/%Y"
"base.lang_es_UY","%Y","%m/%Y"
"base.lang_es_VE","%Y","%m/%Y"
"base.lang_es","%Y","%m/%Y"
"base.lang_sv_SE","%Y",%Y-%m"
"base.lang_th","%Y","%m/%Y"
"base.lang_tr","%Y","%m-%Y"
"base.lang_uk_UA","%Y","%m.%Y"
"base.lang_vi_VN","%Y","%m/%Y"
"base.lang_sq_AL","%Y","%Y-%b"
"base.lang_te_IN","%Y","%B %Y"
